ip,start_time,req_count,auth_fail_count,rapid_req_count,large_payload_count,xss_hits,sqli_hits,get_requests,avg_response_time,label
::1,2025-12-30 10:34:33.496000+00:00,20,0,19,0,0,20,0,0.85,normal
::1,2025-12-30 10:34:38.571000+00:00,20,0,20,0,0,20,0,0.6,normal
::1,2025-12-30 10:34:43.635000+00:00,20,0,20,0,0,20,0,0.6,normal
::1,2025-12-30 10:34:48.705000+00:00,20,0,20,0,0,20,0,0.55,normal
::1,2025-12-30 10:34:53.772000+00:00,20,0,20,0,0,20,0,0.5,normal
::1,2025-12-30 10:34:58.836000+00:00,20,0,20,0,0,20,0,0.5,normal
::1,2025-12-30 10:35:03.902000+00:00,20,0,20,0,0,20,0,0.55,normal
::1,2025-12-30 10:35:08.961000+00:00,20,0,20,0,0,20,0,0.45,normal
::1,2025-12-30 10:35:14.023000+00:00,20,0,20,0,0,20,0,0.5,normal
::1,2025-12-30 10:35:19.084000+00:00,20,0,20,0,0,20,0,0.45,normal
::1,2025-12-30 10:35:24.147000+00:00,20,0,20,0,0,20,0,0.25,normal
::1,2025-12-30 10:35:29.206000+00:00,20,0,20,0,0,20,0,0.35,normal
::1,2025-12-30 10:35:34.268000+00:00,20,0,20,0,0,20,0,0.25,normal
::1,2025-12-30 10:35:39.335000+00:00,20,0,20,0,0,20,0,0.15,normal
::1,2025-12-30 10:35:44.393000+00:00,20,0,20,0,0,20,0,0.35,normal
::1,2025-12-30 10:35:49.458000+00:00,20,0,20,0,0,20,0,0.4,normal
::1,2025-12-30 10:35:54.514000+00:00,20,0,20,0,0,20,0,0.55,normal
::1,2025-12-30 10:35:59.582000+00:00,20,0,20,0,0,20,0,0.55,normal
::1,2025-12-30 10:36:04.657000+00:00,20,0,20,0,0,20,0,0.5,normal
::1,2025-12-30 10:36:09.723000+00:00,20,0,20,0,0,20,0,0.45,normal
::1,2025-12-30 10:36:14.793000+00:00,20,0,20,0,0,20,0,0.4,normal
::1,2025-12-30 10:36:19.850000+00:00,20,0,20,0,0,20,0,0.5,normal
::1,2025-12-30 10:36:24.916000+00:00,20,0,20,0,0,20,0,0.5,normal
::1,2025-12-30 10:36:29.981000+00:00,20,0,20,0,0,20,0,0.5,normal
::1,2025-12-30 10:36:35.040000+00:00,20,0,20,0,0,20,0,0.5,normal
::1,2025-12-30 10:36:40.107000+00:00,20,0,20,0,0,20,0,0.45,normal
::1,2025-12-30 10:36:45.167000+00:00,20,0,20,0,0,20,0,0.4,normal
::1,2025-12-30 10:36:50.231000+00:00,20,0,20,0,0,20,0,0.3,normal
::1,2025-12-30 10:36:55.291000+00:00,20,0,20,0,0,20,0,0.3,normal
::1,2025-12-30 10:37:00.353000+00:00,20,0,20,0,0,20,0,0.35,normal
::1,2025-12-30 10:37:05.412000+00:00,20,0,20,0,0,20,0,0.4,normal
::1,2025-12-30 10:37:10.468000+00:00,20,0,20,0,0,20,0,0.5,normal
::1,2025-12-30 10:37:15.526000+00:00,20,0,20,0,0,20,0,0.4,normal
::1,2025-12-30 10:37:20.583000+00:00,20,0,20,0,0,20,0,0.45,normal
::1,2025-12-30 10:37:25.643000+00:00,20,0,20,0,0,20,0,0.4,normal
::1,2025-12-30 10:37:30.707000+00:00,20,0,20,0,0,20,0,0.35,normal
::1,2025-12-30 10:37:35.768000+00:00,20,0,20,0,0,20,0,0.4,normal
::1,2025-12-30 10:37:40.839000+00:00,20,5,19,0,0,20,0,0.4,sql_injection
::1,2025-12-30 10:37:45.911000+00:00,20,10,19,0,0,20,0,0.5,sql_injection
::1,2025-12-30 10:37:50.972000+00:00,20,15,19,0,0,20,0,0.65,sql_injection
::1,2025-12-30 10:42:11.124000+00:00,20,20,19,0,0,20,0,0.7,sql_injection
::1,2025-12-30 10:42:11.165000+00:00,20,20,20,0,0,20,0,0.6,sql_injection
::1,2025-12-30 10:42:11.202000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-30 10:42:11.242000+00:00,20,20,20,0,0,20,0,0.35,sql_injection
::1,2025-12-30 10:42:11.281000+00:00,20,20,20,0,0,20,0,0.35,sql_injection
::1,2025-12-30 10:42:11.329000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:11.376000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:11.415000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:11.455000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:11.493000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:11.531000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:11.571000+00:00,20,20,20,0,0,20,0,0.55,sql_injection
::1,2025-12-30 10:42:11.611000+00:00,20,20,20,0,0,20,0,0.55,sql_injection
::1,2025-12-30 10:42:11.651000+00:00,20,20,20,0,0,20,0,0.4,sql_injection
::1,2025-12-30 10:42:11.690000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-30 10:42:11.732000+00:00,20,20,20,0,0,20,0,0.35,sql_injection
::1,2025-12-30 10:42:11.772000+00:00,20,20,20,0,0,20,0,0.3,sql_injection
::1,2025-12-30 10:42:11.811000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:11.849000+00:00,20,20,20,0,0,20,0,0.35,sql_injection
::1,2025-12-30 10:42:11.888000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:11.925000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-30 10:42:11.964000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:12.002000+00:00,20,20,20,0,0,20,0,0.6,sql_injection
::1,2025-12-30 10:42:12.040000+00:00,20,20,20,0,0,20,0,0.6,sql_injection
::1,2025-12-30 10:42:12.078000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-30 10:42:12.116000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-30 10:42:12.155000+00:00,20,20,20,0,0,20,0,0.3,sql_injection
::1,2025-12-30 10:42:12.192000+00:00,20,20,20,0,0,20,0,0.3,sql_injection
::1,2025-12-30 10:42:12.233000+00:00,20,20,20,0,0,20,0,0.3,sql_injection
::1,2025-12-30 10:42:12.271000+00:00,20,20,20,0,0,20,0,0.4,sql_injection
::1,2025-12-30 10:42:12.308000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-30 10:42:12.346000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:12.388000+00:00,20,20,20,0,0,20,0,0.55,sql_injection
::1,2025-12-30 10:42:12.428000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-30 10:42:12.468000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:12.506000+00:00,20,20,20,0,0,20,0,0.55,sql_injection
::1,2025-12-30 10:42:12.543000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:12.581000+00:00,20,20,20,0,0,20,0,0.4,sql_injection
::1,2025-12-30 10:42:12.620000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-30 10:42:12.657000+00:00,20,20,20,0,0,20,0,0.55,sql_injection
::1,2025-12-30 10:42:12.695000+00:00,20,20,20,0,0,20,0,0.7,sql_injection
::1,2025-12-30 10:42:12.734000+00:00,20,20,20,0,0,20,0,0.7,sql_injection
::1,2025-12-30 10:42:12.773000+00:00,20,20,20,0,0,20,0,0.6,sql_injection
::1,2025-12-30 10:42:12.811000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-30 10:42:12.848000+00:00,20,20,20,0,0,20,0,0.55,sql_injection
::1,2025-12-30 10:42:12.887000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:12.924000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-30 10:42:12.961000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-30 10:42:12.998000+00:00,20,20,20,0,0,20,0,0.2,sql_injection
::1,2025-12-30 10:42:13.036000+00:00,20,20,20,0,0,20,0,0.3,sql_injection
::1,2025-12-30 10:42:13.074000+00:00,20,20,20,0,0,20,0,0.25,sql_injection
::1,2025-12-30 10:42:13.112000+00:00,20,20,20,0,0,20,0,0.35,sql_injection
::1,2025-12-30 10:42:13.150000+00:00,20,20,20,0,0,20,0,0.35,sql_injection
::1,2025-12-30 10:42:13.188000+00:00,20,20,20,0,0,20,0,0.35,sql_injection
::1,2025-12-30 10:42:13.226000+00:00,20,20,20,0,0,20,0,0.4,sql_injection
::1,2025-12-30 10:42:13.264000+00:00,20,20,20,0,0,20,0,0.25,sql_injection
::1,2025-12-30 10:42:13.302000+00:00,20,20,20,0,0,20,0,0.35,sql_injection
::1,2025-12-30 10:42:13.341000+00:00,20,20,19,0,0,20,0,0.55,sql_injection
::1,2025-12-30 10:42:13.380000+00:00,20,20,18,0,0,20,0,0.5,sql_injection
::1,2025-12-30 10:42:13.419000+00:00,20,20,17,0,0,20,0,0.65,sql_injection
::1,2025-12-30 11:04:55.198000+00:00,20,20,17,0,0,20,0,0.55,sql_injection
::1,2025-12-30 11:04:55.251000+00:00,20,20,17,0,0,20,0,0.35,sql_injection
::1,2025-12-30 11:04:58.335000+00:00,20,20,17,0,0,20,0,0.35,sql_injection
::1,2025-12-30 11:05:01.418000+00:00,20,20,18,0,0,20,0,0.2,sql_injection
::1,2025-12-30 11:05:01.468000+00:00,20,20,17,0,0,20,0,0.25,sql_injection
::1,2025-12-30 11:05:04.555000+00:00,20,20,17,0,0,20,0,0.15,sql_injection
::1,2025-12-30 11:05:07.642000+00:00,20,20,17,0,0,20,0,0.1,sql_injection
::1,2025-12-30 11:05:10.707000+00:00,20,20,17,0,0,20,0,0.2,sql_injection
::1,2025-12-30 11:05:10.773000+00:00,20,20,17,0,0,20,0,0.3,sql_injection
::1,2025-12-30 11:05:13.867000+00:00,20,20,17,0,0,20,0,0.35,sql_injection
::1,2025-12-30 11:05:16.953000+00:00,20,20,18,0,0,20,0,0.45,sql_injection
::1,2025-12-30 11:05:17.007000+00:00,20,20,13,5,5,20,0,0.75,xss
::1,2025-12-30 11:05:20.090000+00:00,20,20,9,10,10,20,0,0.85,xss
::1,2025-12-30 11:05:23.179000+00:00,20,20,5,15,15,20,0,0.85,xss
::1,2025-12-30 11:14:31.367000+00:00,20,20,0,20,20,20,0,0.8,xss
::1,2025-12-30 11:14:41.428000+00:00,20,15,0,15,15,20,2,1.25,xss
::1,2025-12-30 11:14:56.496000+00:00,20,10,0,10,10,20,2,1.25,xss
::1,2025-12-30 11:15:06.555000+00:00,20,5,0,5,5,20,2,1.55,xss
::1,2025-12-30 11:19:44.792000+00:00,20,0,0,0,0,20,2,1.6,brute_force
::1,2025-12-31 05:18:53.919000+00:00,20,0,0,0,0,20,0,0.95,brute_force
::1,2025-12-31 05:19:08.988000+00:00,20,0,0,0,0,20,0,0.8,brute_force
::1,2025-12-31 05:19:25.055000+00:00,20,0,0,0,0,20,0,0.5,brute_force
::1,2025-12-31 05:19:42.119000+00:00,20,0,0,0,0,20,0,0.5,brute_force
::1,2025-12-31 05:19:58.186000+00:00,20,0,0,0,0,20,0,0.45,brute_force
::1,2025-12-31 05:20:12.258000+00:00,20,0,0,0,0,20,0,0.5,normal
::1,2025-12-31 05:20:30.318000+00:00,20,0,0,0,0,20,0,0.5,normal
::1,2025-12-31 05:20:46.381000+00:00,20,0,0,0,0,20,0,0.4,normal
::1,2025-12-31 05:20:59.444000+00:00,20,0,0,0,0,20,0,0.4,normal
::1,2025-12-31 05:21:12.506000+00:00,20,0,0,0,0,20,0,0.35,normal
::1,2025-12-31 05:21:30.573000+00:00,20,0,0,0,0,20,0,0.45,normal
::1,2025-12-31 05:21:46.634000+00:00,20,0,0,0,0,20,0,0.5,normal
::1,2025-12-31 05:22:02.705000+00:00,20,0,0,0,0,20,0,0.4,normal
::1,2025-12-31 05:22:13.769000+00:00,20,0,0,0,0,20,0,0.5,normal
::1,2025-12-31 05:22:28.833000+00:00,20,0,0,0,0,20,0,0.5,normal
::1,2025-12-31 05:22:46.898000+00:00,20,0,0,0,0,20,0,0.5,normal
::1,2025-12-31 05:23:02.958000+00:00,20,0,0,0,0,20,0,0.6,normal
::1,2025-12-31 05:23:16.022000+00:00,20,0,0,0,0,20,0,0.45,normal
::1,2025-12-31 05:23:30.090000+00:00,20,0,0,0,0,20,0,0.5,normal
::1,2025-12-31 05:23:45.153000+00:00,20,0,0,0,0,20,0,0.4,normal
::1,2025-12-31 05:23:58.216000+00:00,20,0,0,0,0,20,0,0.45,normal
::1,2025-12-31 05:24:16.278000+00:00,20,0,0,0,0,20,0,0.4,normal
::1,2025-12-31 05:24:31.341000+00:00,20,0,0,0,0,20,0,0.2,normal
::1,2025-12-31 05:24:50.405000+00:00,20,0,0,0,0,20,0,0.35,normal
::1,2025-12-31 05:25:04.474000+00:00,20,0,0,0,0,20,0,0.2,normal
::1,2025-12-31 05:25:18.539000+00:00,20,0,0,0,0,20,0,0.3,normal
::1,2025-12-31 05:25:35.603000+00:00,20,0,0,0,0,20,0,0.35,normal
::1,2025-12-31 05:25:48.659000+00:00,20,0,0,0,0,20,0,0.4,normal
::1,2025-12-31 05:26:04.722000+00:00,20,0,0,0,0,20,0,0.4,normal
::1,2025-12-31 05:26:19.786000+00:00,20,0,0,0,0,20,0,0.45,normal
::1,2025-12-31 05:26:35.853000+00:00,20,0,0,0,0,20,0,0.45,normal
::1,2025-12-31 05:26:51.915000+00:00,20,0,0,0,0,20,0,0.35,normal
::1,2025-12-31 05:27:06.974000+00:00,20,0,0,0,0,20,0,0.35,normal
::1,2025-12-31 05:27:23.034000+00:00,20,0,0,0,0,20,0,0.3,normal
::1,2025-12-31 05:27:37.096000+00:00,20,0,0,0,0,20,0,0.35,normal
::1,2025-12-31 05:27:52.161000+00:00,20,0,0,0,0,20,0,0.4,normal
::1,2025-12-31 05:28:07.223000+00:00,20,0,0,0,0,20,0,0.4,normal
::1,2025-12-31 05:28:24.286000+00:00,20,0,0,0,0,20,0,0.45,normal
::1,2025-12-31 05:28:37.355000+00:00,20,0,0,0,0,20,0,0.55,normal
::1,2025-12-31 05:28:51.415000+00:00,20,0,0,0,0,20,0,0.6,normal
::1,2025-12-31 05:29:05.479000+00:00,20,0,0,0,0,20,0,0.75,normal
::1,2025-12-31 05:29:19.542000+00:00,20,0,0,0,0,20,0,0.65,normal
::1,2025-12-31 05:29:34.630000+00:00,20,0,0,0,0,20,0,0.6,normal
::1,2025-12-31 05:29:46.706000+00:00,20,0,0,0,0,20,0,0.5,normal
::1,2025-12-31 05:30:01.785000+00:00,20,0,0,0,0,20,0,0.5,normal
::1,2025-12-31 05:30:16.854000+00:00,20,0,0,0,0,20,0,0.55,normal
::1,2025-12-31 05:30:29.922000+00:00,20,0,0,0,0,20,0,0.55,normal
::1,2025-12-31 05:30:47.982000+00:00,20,0,0,0,0,20,0,0.6,normal
::1,2025-12-31 05:31:02.044000+00:00,20,0,0,0,0,20,0,0.55,normal
::1,2025-12-31 05:31:16.118000+00:00,20,0,0,0,0,20,0,0.5,normal
::1,2025-12-31 05:31:30.185000+00:00,20,0,0,0,0,20,0,0.5,normal
::1,2025-12-31 05:31:47.258000+00:00,20,0,0,0,0,20,0,0.55,normal
::1,2025-12-31 05:32:04.315000+00:00,20,0,0,0,0,20,0,0.45,normal
::1,2025-12-31 05:32:17.389000+00:00,20,0,0,0,0,20,0,0.45,normal
::1,2025-12-31 05:32:33.453000+00:00,20,0,0,0,0,20,0,0.4,normal
::1,2025-12-31 05:32:49.517000+00:00,20,0,0,0,0,20,0,0.35,normal
::1,2025-12-31 05:33:04.579000+00:00,20,3,2,0,0,20,0,0.4,sql_injection
::1,2025-12-31 05:33:20.643000+00:00,20,8,7,0,0,20,0,0.45,sql_injection
::1,2025-12-31 05:33:33.707000+00:00,20,13,12,0,0,20,0,0.45,sql_injection
::1,2025-12-31 05:33:50.770000+00:00,20,18,17,0,0,20,0,0.35,sql_injection
::1,2025-12-31 05:40:33.361000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-31 05:40:33.404000+00:00,20,20,20,0,0,20,0,0.4,sql_injection
::1,2025-12-31 05:40:33.453000+00:00,20,20,20,0,0,20,0,0.3,sql_injection
::1,2025-12-31 05:40:33.492000+00:00,20,20,20,0,0,20,0,0.3,sql_injection
::1,2025-12-31 05:40:33.533000+00:00,20,20,20,0,0,20,0,0.25,sql_injection
::1,2025-12-31 05:40:33.572000+00:00,20,20,20,0,0,20,0,0.3,sql_injection
::1,2025-12-31 05:40:33.616000+00:00,20,20,19,0,0,20,0,0.4,sql_injection
::1,2025-12-31 05:40:33.659000+00:00,20,20,19,0,0,20,0,0.5,sql_injection
::1,2025-12-31 05:40:33.700000+00:00,20,20,19,0,0,20,0,0.4,sql_injection
::1,2025-12-31 05:40:33.746000+00:00,20,20,19,0,0,20,0,0.5,sql_injection
::1,2025-12-31 05:40:53.804000+00:00,20,20,20,0,0,20,0,0.55,sql_injection
::1,2025-12-31 05:40:53.849000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-31 05:40:53.891000+00:00,20,20,20,0,0,20,0,0.55,sql_injection
::1,2025-12-31 05:40:53.929000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-31 05:40:53.969000+00:00,20,20,20,0,0,20,0,0.4,sql_injection
::1,2025-12-31 05:40:54.013000+00:00,20,20,20,0,0,20,0,0.35,sql_injection
::1,2025-12-31 05:40:54.060000+00:00,20,20,19,0,0,20,0,0.35,sql_injection
::1,2025-12-31 05:40:54.102000+00:00,20,20,19,0,0,20,0,0.3,sql_injection
::1,2025-12-31 05:40:54.143000+00:00,20,20,19,0,0,20,0,0.4,sql_injection
::1,2025-12-31 05:40:54.187000+00:00,20,20,19,0,0,20,0,0.5,sql_injection
::1,2025-12-31 05:41:14.240000+00:00,20,20,20,0,0,20,0,0.55,sql_injection
::1,2025-12-31 05:41:14.292000+00:00,20,20,20,0,0,20,0,0.55,sql_injection
::1,2025-12-31 05:41:14.337000+00:00,20,20,20,0,0,20,0,0.55,sql_injection
::1,2025-12-31 05:41:14.380000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-31 05:41:14.421000+00:00,20,20,20,0,0,20,0,0.35,sql_injection
::1,2025-12-31 05:41:14.463000+00:00,20,20,20,0,0,20,0,0.4,sql_injection
::1,2025-12-31 05:41:14.504000+00:00,20,20,19,0,0,20,0,0.3,sql_injection
::1,2025-12-31 05:41:14.548000+00:00,20,20,19,0,0,20,0,0.25,sql_injection
::1,2025-12-31 05:41:14.593000+00:00,20,20,19,0,0,20,0,0.35,sql_injection
::1,2025-12-31 05:41:14.636000+00:00,20,20,19,0,0,20,0,0.35,sql_injection
::1,2025-12-31 05:41:34.693000+00:00,20,20,20,0,0,20,0,0.35,sql_injection
::1,2025-12-31 05:41:34.741000+00:00,20,20,20,0,0,20,0,0.4,sql_injection
::1,2025-12-31 05:41:34.782000+00:00,20,20,20,0,0,20,0,0.45,sql_injection
::1,2025-12-31 05:41:34.826000+00:00,20,20,20,0,0,20,0,0.5,sql_injection
::1,2025-12-31 05:41:34.872000+00:00,20,20,20,0,0,20,0,0.65,sql_injection
::1,2025-12-31 05:41:34.916000+00:00,20,20,20,0,0,20,0,0.65,sql_injection
::1,2025-12-31 05:41:34.962000+00:00,20,20,19,0,0,20,0,0.65,sql_injection
